"USID"," Score"
"    281",2
"   v281",3
"   9563",1
"  v9563",5
"  12199",5
" v12199",5
"  14015",4
" v14015",4
"  19409",4
" v19409",4
"  27816",4
" v27816",4
"    326",5
"   v326",5
"  11764",1
" v11764",1
"  14194",5
"  17436",5
" v17436",5
"  17801",1
" v17801",5
"  19646",4
"  20064",5
" v20064",5
"  26787",1
" v26787",1
"    449",5
"   v449",5
"   4612",2
"  v4612",4
"   5816",3
"  v5816",4
"  11115",5
" v11115",5
"  24784",1
" v24784",3
"    456",1
"   v456",2
"   3885",1
"  v3885",5
"   5281",4
"  v5281",5
"  11611",2
" v11611",2
"  15562",2
" v15562",1
"  18019",2
" v18019",5
"  18321",1
" v18321",2
"  19775",3
" v19775",5
"  20176",2
" v20176",1
"  25343",1
" v25343",1
"  27073",1
"    469",1
"   v469",1
"   9318",1
"  v9318",5
"  12784",5
" v12784",5
"  16235",1
" v16235",5
"  18162",5
" v18162",5
"  18411",1
" v18411",5
"  19861",1
" v19861",5
"  20263",1
"  24829",3
" v24829",4
"  26156",1
" v26156",5
"  28599",2
"    502",1
"   v502",5
"   9685",1
"  v9685",5
"  10578",5
"  15446",1
" v15446",2
"    545",5
"   v545",5
"  11781",5
" v11781",5
"  14529",5
" v14529",5
"  26523",4
" v26523",5
"  28825",2
" v28825",1
"    562",1
"   v562",1
"  12240",1
" v12240",5
"  13164",5
" v13164",5
"  17029",5
" v17029",5
"    661",1
"   v661",5
"   8313",1
"  v8313",5
"  12382",4
" v12382",5
"  14641",1
" v14641",1
"  19264",1
" v19264",5
"    700",1
"   v700",1
"   6276",1
"  v6276",5
"  11449",5
" v11449",5
"  12828",5
" v12828",5
"  16325",4
" v16325",5
"  18994",4
" v18994",2
"  24980",1
" v24980",1
"  27084",2
" v27084",2
"    842",2
"   v842",1
"   8992",1
"  v8992",4
"  10381",2
" v10381",5
"  15255",1
" v15255",5
"  17198",4
" v17198",4
"  17657",3
" v17657",3
"  19545",3
" v19545",4
"  19961",4
" v19961",3
"  22865",3
" v22865",2
"    855",1
"   v855",5
"   4637",1
"  v4637",1
"   5837",3
"  v5837",1
"  11324",1
" v11324",5
"  13858",1
" v13858",5
"    934",2
"   v934",5
"  12449",5
" v12449",5
"  13869",1
" v13869",2
"  18799",4
"  27837",3
" v27837",5
"   1017",2
"  v1017",3
"   6067",2
"  v6067",5
"  10902",5
" v10902",5
"  12875",2
" v12875",5
"  16742",2
" v16742",3
"  17562",1
" v17562",2
"  17945",4
" v17945",4
"  19711",2
"  20122",2
" v20122",4
"  22320",1
" v22320",4
"  26417",3
" v26417",5
"  28775",2
" v28775",4
"   1038",2
"  v1038",2
"   4375",2
"  v4375",4
"   5708",4
"  v5708",3
"  12308",5
" v12308",2
"  15330",2
" v15330",5
"  19352",1
" v19352",5
"  28471",3
" v28471",2
"   1069",5
"  v1069",5
"   5130",4
"  v5130",4
"  12331",4
" v12331",3
"  13110",3
" v13110",3
"  16931",2
" v16931",5
"  19163",0
" v19163",5
"  21750",5
" v21750",2
"  28267",5
" v28267",5
"  29378",1
" v29378",4
"   1096",1
"  v1096",2
